threshold,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives,false_positive_rate,false_negative_rate,fp_cost,fn_cost,review_cost,expected_loss
0.01,0.044518080968160206,0.6569808646350106,0.08338580552307277,19896,484,927,98016,0.16873600651333198,0.34301913536498935,29844000.0,21780000.0,10411500.0,62035500.0
0.02,0.05440196649201113,0.5960311835577604,0.0997036158861885,14618,570,841,103294,0.12397381097767828,0.40396881644223953,21927000.0,25650000.0,7729500.0,55306500.0
0.03,0.07098699637603922,0.47200566973777464,0.12341332345038451,8716,745,666,109196,0.07391953321120835,0.5279943302622254,13074000.0,33525000.0,4691000.0,51290000.0
0.05,0.07903973045065281,0.39900779588944013,0.1319428169674244,6560,848,563,111352,0.05563471063165751,0.6009922041105599,9840000.0,38160000.0,3561500.0,51561500.0
0.08,0.1270718232044199,0.2445074415308292,0.16723218613669413,2370,1066,345,115542,0.020099735395888458,0.7554925584691708,3555000.0,47970000.0,1357500.0,52882500.0
0.1,0.1270718232044199,0.2445074415308292,0.16723218613669413,2370,1066,345,115542,0.020099735395888458,0.7554925584691708,3555000.0,47970000.0,1357500.0,52882500.0
0.15,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.2,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.25,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.3,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.35,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.4,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
0.5,0.0,0.0,0.0,0,1411,0,117912,0.0,1.0,0.0,63495000.0,0.0,63495000.0
